0.005,0.000
0.010,0.000
0.015,0.005
0.020,0.023
0.025,0.037
0.030,0.060
0.035,0.078
0.040,0.106
0.045,0.134
0.050,0.161
0.055,0.194
0.060,0.226
0.065,0.253
0.070,0.286
0.075,0.318
0.080,0.350
0.085,0.382
0.090,0.419
0.095,0.447
0.100,0.484
0.105,0.516
0.110,0.548
0.115,0.585
0.120,0.618
0.125,0.650
0.130,0.687
0.135,0.719
0.140,0.751
0.145,0.788
0.150,0.820
0.155,0.853
0.160,0.889
0.165,0.922
0.170,0.954
0.175,0.991
0.180,1.023
0.185,1.055
0.190,1.092
0.195,1.124
0.200,1.157
0.205,1.194
0.210,1.226
0.215,1.258
0.220,1.295
0.225,1.332
0.230,1.359
0.235,1.396
0.240,1.433
0.245,1.465
0.250,1.498
0.255,1.535
0.260,1.567
0.265,1.599
0.270,1.636
0.275,1.668
0.280,1.700
0.285,1.737
0.290,1.770
0.295,1.802
0.300,1.839
0.305,1.876
0.310,1.908
0.315,1.940
0.320,1.977
0.325,2.009
0.330,2.041
0.335,2.078
0.340,2.111
0.345,2.143
0.350,2.180
0.355,2.217
0.360,2.244
0.365,2.281
0.370,2.318
0.375,2.350
0.380,2.382
0.385,2.419
0.390,2.452
0.395,2.484
0.400,2.521
0.405,2.553
0.410,2.585
0.415,2.622
0.420,2.659
0.425,2.691
0.430,2.724
0.435,2.760
0.440,2.793
0.445,2.825
0.450,2.862
0.455,2.894
0.460,2.926
0.465,2.963
0.470,2.995
0.475,3.028
0.480,3.065
0.485,3.101
0.490,3.134
0.495,3.166
0.500,3.203
0.505,3.235
0.510,3.267
0.515,3.304
0.520,3.336
0.525,3.369
0.530,3.406
0.535,3.442
0.540,3.475
0.545,3.507
0.550,3.544
0.555,3.576
0.560,3.608
0.565,3.645
0.570,3.677
0.575,3.710
0.580,3.747
0.585,3.783
0.590,3.816
0.595,3.848
0.600,3.885
0.605,3.917
0.610,3.949
0.615,3.986
0.620,4.018
0.625,4.051
0.630,4.088
0.635,4.124
0.640,4.157
0.645,4.189
0.650,4.226
0.655,4.258
0.660,4.290
0.665,4.327
0.670,4.359
0.675,4.392
0.680,4.429
0.685,4.465
0.690,4.498
0.695,4.530
0.700,4.567
0.705,4.599
0.710,4.631
0.715,4.668
0.720,4.700
0.725,4.733
0.730,4.770
0.735,4.806
0.740,4.834
0.745,4.871
0.750,4.908
0.755,4.940
0.760,4.972
0.765,5.009
0.770,5.041
0.775,5.074
0.780,5.111
0.785,5.147
0.790,5.175
0.795,5.212
0.800,5.249
0.805,5.281
0.810,5.313
0.815,5.350
0.820,5.382
0.825,5.415
0.830,5.452
0.835,5.488
0.840,5.521
0.845,5.553
0.850,5.590
0.855,5.622
0.860,5.654
0.865,5.691
0.870,5.724
0.875,5.756
0.880,5.793
0.885,5.829
0.890,5.862
0.895,5.894
0.900,5.931
0.905,5.963
0.910,5.995
0.915,6.032
0.920,6.065
0.925,6.097
0.930,6.134
0.935,6.171
0.940,6.203
0.945,6.235
0.950,6.272
0.955,6.304
0.960,6.336
0.965,6.373
0.970,6.410
0.975,6.438
0.980,6.475
0.985,6.512
0.990,6.544
0.995,6.576
1.000,6.613
1.005,6.645
1.010,6.677
1.015,6.714
1.020,6.747
1.025,6.779
1.030,6.816
1.035,6.853
1.040,6.885
1.045,6.917
1.050,6.954
1.055,6.986
1.060,7.018
1.065,7.055
1.070,7.092
1.075,7.124
1.080,7.157
1.085,7.194
1.090,7.226
